Longitude	Latitude	Year	Month	Day	Mag	Hour	Minite	Second 
102.900000 24.100000 1970 1 6 4.900000 1 58 54.000000 
102.900000 24.100000 1970 1 6 3.700000 2 12 0.000000 
102.900000 24.100000 1970 1 6 3.200000 2 26 0.000000 
102.900000 24.100000 1970 1 6 4.000000 2 29 0.000000 
102.900000 24.100000 1970 1 6 3.200000 2 43 0.000000 
102.900000 24.100000 1970 1 6 4.000000 2 47 0.000000 
102.900000 24.100000 1970 1 6 3.200000 2 52 0.000000 
102.900000 24.100000 1970 1 6 3.200000 2 54 0.000000 
102.900000 24.100000 1970 1 6 3.200000 3 39 0.000000 
102.900000 24.100000 1970 1 6 3.900000 3 43 0.000000 
102.900000 24.100000 1970 1 6 3.400000 3 45 0.000000 
102.900000 24.100000 1970 1 6 3.300000 4 18 0.000000 
102.900000 24.100000 1970 1 6 3.900000 4 21 0.000000 
102.900000 24.100000 1970 1 6 4.200000 4 21 0.000000 
102.900000 24.100000 1970 1 6 3.200000 4 39 0.000000 
102.900000 24.100000 1970 1 6 3.400000 5 32 0.000000 
102.900000 24.100000 1970 1 6 3.400000 6 34 0.000000 
102.900000 24.100000 1970 1 6 3.400000 7 4 0.000000 
102.900000 24.100000 1970 1 6 3.200000 7 8 0.000000 
102.900000 24.100000 1970 1 6 3.200000 7 13 0.000000 
102.900000 24.100000 1970 1 6 3.200000 7 51 0.000000 
102.900000 24.100000 1970 1 6 3.200000 8 44 0.000000 
102.500000 24.100000 1970 1 6 4.600000 9 27 4.000000 
102.400000 24.100000 1970 1 6 4.600000 9 39 48.000000 
102.400000 24.100000 1970 1 6 3.800000 10 1 0.000000 
102.400000 24.100000 1970 1 6 3.800000 10 22 0.000000 
102.400000 24.100000 1970 1 6 3.700000 10 26 0.000000 
102.400000 24.100000 1970 1 6 3.200000 10 28 0.000000 
102.400000 24.100000 1970 1 6 3.200000 10 35 0.000000 
102.900000 24.000000 1970 1 6 4.300000 10 38 39.000000 
102.900000 24.000000 1970 1 6 3.200000 10 58 0.000000 
102.900000 24.000000 1970 1 6 3.200000 12 1 0.000000 
102.900000 24.000000 1970 1 6 3.200000 12 44 0.000000 
102.900000 24.000000 1970 1 6 3.500000 13 4 0.000000 
102.900000 24.000000 1970 1 6 3.700000 13 23 0.000000 
102.900000 24.000000 1970 1 6 3.200000 13 30 0.000000 
102.900000 24.000000 1970 1 6 3.700000 13 42 0.000000 
102.900000 24.000000 1970 1 6 3.600000 13 43 0.000000 
102.900000 24.000000 1970 1 6 4.000000 15 14 0.000000 
102.900000 24.000000 1970 1 6 3.200000 15 17 0.000000 
102.900000 24.000000 1970 1 6 4.300000 15 40 0.000000 
102.900000 24.000000 1970 1 6 4.100000 15 48 0.000000 
102.900000 24.000000 1970 1 6 4.200000 15 52 0.000000 
102.900000 24.000000 1970 1 6 4.100000 16 33 0.000000 
102.900000 24.000000 1970 1 6 3.300000 16 41 0.000000 
